año_registro,provincia_incidente,canton_incidente,delito,tipo_delito
2024,AZUAY,CAMILO PONCE ENRIQUEZ,ACTIVIDAD ILÍCITA DE RECURSOS MINEROS,
2024,AZUAY,CAMILO PONCE ENRIQUEZ,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",
2024,AZUAY,CAMILO PONCE ENRIQUEZ,DELITOS CONTRA LA FLORA Y FAUNA SILVESTRES,
2024,AZUAY,CAMILO PONCE ENRIQUEZ,EXTORSIÓN,
2024,AZUAY,CHORDELEG,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",
2024,AZUAY,CHORDELEG,EXTORSIÓN,
2024,AZUAY,CHORDELEG,TRÁFICO ILÍCITO DE MIGRANTES,
2024,AZUAY,CUENCA,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE HIDROCARBUROS EN LAS PROVINCIAS FRONTERIZAS, PUERTOS MARÍTIMOS O FLUVIALES O MAR TERRITORIAL.",
2024,AZUAY,CUENCA,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",
2024,AZUAY,CUENCA,EXTORSIÓN,
2024,AZUAY,CUENCA,SECUESTRO EXTORSIVO,
2024,AZUAY,CUENCA,TRÁFICO ILÍCITO DE MIGRANTES,
2024,AZUAY,CUENCA,TRATA DE PERSONAS,
2024,AZUAY,GIRON,EXTORSIÓN,
2024,AZUAY,GIRON,TRÁFICO ILÍCITO DE MIGRANTES,
2024,AZUAY,GUACHAPALA,EXTORSIÓN,
2024,AZUAY,GUALACEO,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",
2024,AZUAY,GUALACEO,EXTORSIÓN,
2024,AZUAY,GUALACEO,LAVADO DE ACTIVOS,
2024,AZUAY,GUALACEO,TRÁFICO ILÍCITO DE MIGRANTES,
2024,AZUAY,NABON,EXTORSIÓN,
2024,AZUAY,OÑA,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",
2024,AZUAY,PAUTE,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",
2024,AZUAY,PAUTE,EXTORSIÓN,
2024,AZUAY,PUCARA,EXTORSIÓN,
2024,AZUAY,SAN FERNANDO,EXTORSIÓN,
2024,AZUAY,SANTA ISABEL,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",
2024,AZUAY,SANTA ISABEL,EXTORSIÓN,
2024,AZUAY,SEVILLA DE ORO,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",
2024,AZUAY,SEVILLA DE ORO,EXTORSIÓN,
2024,AZUAY,SIGSIG,ACTIVIDAD ILÍCITA DE RECURSOS MINEROS,
2024,AZUAY,SIGSIG,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",
2024,AZUAY,SIGSIG,EXTORSIÓN,
2024,AZUAY,SIGSIG,SECUESTRO EXTORSIVO,
2024,AZUAY,SIGSIG,TRÁFICO ILÍCITO DE MIGRANTES,
2024,BOLIVAR,CALUMA,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",
2024,BOLIVAR,CALUMA,EXTORSIÓN,
2024,BOLIVAR,CHILLANES,ACTIVIDAD ILÍCITA DE RECURSOS MINEROS,
2024,BOLIVAR,CHILLANES,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",
2024,BOLIVAR,CHILLANES,EXTORSIÓN,
2024,BOLIVAR,ECHANDíA,EXTORSIÓN,
2024,BOLIVAR,ECHANDíA,SECUESTRO EXTORSIVO,
2024,BOLIVAR,GUARANDA,EXTORSIÓN,
2024,BOLIVAR,GUARANDA,SECUESTRO EXTORSIVO,
2024,BOLIVAR,LAS NAVES,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",
2024,BOLIVAR,LAS NAVES,EXTORSIÓN,
2024,BOLIVAR,LAS NAVES,SECUESTRO EXTORSIVO,
2024,BOLIVAR,SAN JOSE DE CHIMBO,SECUESTRO EXTORSIVO,
2024,BOLIVAR,SAN MIGUEL,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",
2024,BOLIVAR,SAN MIGUEL,DELITOS CONTRA LA FLORA Y FAUNA SILVESTRES,
2024,BOLIVAR,SAN MIGUEL,EXTORSIÓN,
2024,BOLIVAR,SAN MIGUEL,SECUESTRO EXTORSIVO,
2024,CANAR,AZOGUES,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",
2024,CANAR,AZOGUES,DELITOS CONTRA LA FLORA Y FAUNA SILVESTRES,
2024,CANAR,AZOGUES,EXTORSIÓN,
2024,CANAR,AZOGUES,SECUESTRO EXTORSIVO,
2024,CANAR,AZOGUES,TRÁFICO ILÍCITO DE MIGRANTES,
2024,CANAR,BIBLIAN,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",
2024,CANAR,BIBLIAN,EXTORSIÓN,
2024,CANAR,BIBLIAN,TRÁFICO ILÍCITO DE MIGRANTES,
2024,CANAR,CANAR,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",
2024,CANAR,CANAR,EXTORSIÓN,
2024,CANAR,CANAR,LAVADO DE ACTIVOS,
2024,CANAR,DELEG,EXTORSIÓN,
2024,CANAR,EL TAMBO,EXTORSIÓN,
2024,CANAR,EL TAMBO,TRÁFICO ILÍCITO DE MIGRANTES,
2024,CANAR,LA TRONCAL,EXTORSIÓN,
2024,CANAR,LA TRONCAL,SECUESTRO EXTORSIVO,
2024,CANAR,LA TRONCAL,TRÁFICO ILÍCITO DE MIGRANTES,
2024,CANAR,SUSCAL,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",
2024,CANAR,SUSCAL,EXTORSIÓN,
2024,CARCHI,BOLIVAR,EXTORSIÓN,
2024,CARCHI,MIRA,ACTIVIDAD ILÍCITA DE RECURSOS MINEROS,
2024,CARCHI,MONTUFAR,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE HIDROCARBUROS EN LAS PROVINCIAS FRONTERIZAS, PUERTOS MARÍTIMOS O FLUVIALES O MAR TERRITORIAL.",
2024,CARCHI,MONTUFAR,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",
2024,CARCHI,MONTUFAR,EXTORSIÓN,
2024,CARCHI,SAN PEDRO DE HUACA,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",
2024,CARCHI,SAN PEDRO DE HUACA,EXTORSIÓN,
2024,CARCHI,TULCAN,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE HIDROCARBUROS EN LAS PROVINCIAS FRONTERIZAS, PUERTOS MARÍTIMOS O FLUVIALES O MAR TERRITORIAL.",
2024,CARCHI,TULCAN,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",
2024,CARCHI,TULCAN,EXTORSIÓN,
2024,CARCHI,TULCAN,LAVADO DE ACTIVOS,
2024,CARCHI,TULCAN,SECUESTRO EXTORSIVO,
2024,CARCHI,TULCAN,TRÁFICO ILÍCITO DE MIGRANTES,
2024,CHIMBORAZO,ALAUSI,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",
2024,CHIMBORAZO,ALAUSI,EXTORSIÓN,
2024,CHIMBORAZO,ALAUSI,LAVADO DE ACTIVOS,
2024,CHIMBORAZO,CHAMBO,EXTORSIÓN,
2024,CHIMBORAZO,CHUNCHI,EXTORSIÓN,
2024,CHIMBORAZO,CHUNCHI,TRÁFICO ILÍCITO DE MIGRANTES,
2024,CHIMBORAZO,COLTA,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",
2024,CHIMBORAZO,COLTA,EXTORSIÓN,
2024,CHIMBORAZO,CUMANDA,ACTIVIDAD ILÍCITA DE RECURSOS MINEROS,
2024,CHIMBORAZO,CUMANDA,EXTORSIÓN,
