provincia,delitos_de_mayor_incidencia,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25
AZUAY,Robo a personas,95,96,35,3,18,33,31,24,40,42,58,47,41,42,62,29,50,53,44,39,53,61,75,74,46,58,61,62,66,69,71,73,64,70,68,62,58,45,54,46,41,51,35,48,46,53,54,55,48,47,47,42,52,60,47,53,41,78,59,58,46,63,67,43
AZUAY,"Robo de bienes, accesorios y autopartes de vehículos",78,54,19,8,34,58,52,56,46,68,51,53,54,49,44,48,48,43,64,64,40,48,57,29,25,43,31,41,47,51,45,55,64,58,44,53,29,37,36,20,28,12,12,23,21,17,24,14,24,10,18,21,23,20,18,18,18,15,21,26,14,7,14,15
AZUAY,Robo de motos,15,13,8,2,6,17,12,18,10,17,16,18,13,14,20,11,9,24,20,16,17,7,23,31,19,18,22,20,12,18,21,30,30,23,21,21,17,9,24,23,16,12,35,27,29,31,20,26,16,17,12,19,19,13,12,11,12,27,21,23,15,22,21,22
AZUAY,Robo de carros,4,9,5,1,4,4,9,3,4,8,4,4,6,5,8,5,7,7,3,3,9,7,1,6,6,15,5,10,9,11,11,12,10,11,15,14,6,5,2,8,5,7,3,8,7,8,6,9,7,8,10,9,8,9,8,4,2,6,6,7,7,5,5,4
AZUAY,Robo a domicilio,49,39,19,3,18,19,25,16,40,47,32,55,50,33,38,43,40,29,40,44,41,57,57,46,44,25,30,36,56,35,25,49,38,38,35,47,16,17,20,15,5,13,18,16,17,16,14,15,22,10,11,12,19,17,22,29,20,14,18,18,10,11,13,22
AZUAY,Robo a unidades económicas,36,17,8,0,8,13,16,16,14,10,13,9,14,10,17,16,19,21,23,25,9,13,10,24,20,12,9,22,26,21,36,18,21,23,14,19,13,13,8,21,14,10,15,7,15,13,14,10,8,9,8,15,19,9,18,17,13,22,21,18,16,11,8,7
BOLIVAR,Robo a personas,3,12,2,3,0,2,2,2,1,6,5,2,3,3,2,5,1,3,6,4,1,3,7,1,1,2,2,4,6,1,4,6,8,5,5,8,5,10,4,4,2,2,5,2,0,8,3,7,2,8,6,2,2,9,3,3,7,5,4,4,9,10,9,8
BOLIVAR,"Robo de bienes, accesorios y autopartes de vehículos",3,6,2,0,1,0,0,1,1,0,1,1,1,3,0,1,0,1,1,1,3,0,1,2,1,1,3,2,0,0,2,4,2,2,0,3,0,2,2,0,2,0,1,0,1,1,2,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1
BOLIVAR,Robo de motos,0,2,2,0,1,5,0,2,1,4,3,0,3,0,1,1,2,4,5,3,4,3,5,4,3,8,6,2,9,4,10,2,0,9,2,6,6,3,2,2,4,2,5,5,4,7,6,5,2,2,2,2,4,2,3,1,3,6,3,5,2,1,5,3
BOLIVAR,Robo de carros,2,3,1,0,1,0,1,2,1,4,2,0,1,3,1,0,3,0,2,1,2,2,2,0,1,1,1,1,1,0,2,2,3,5,2,2,0,3,2,0,4,1,0,2,0,2,0,0,0,0,0,2,0,1,3,0,1,0,2,4,0,0,3,0
BOLIVAR,Robo a domicilio,6,5,4,1,3,2,6,4,7,2,3,5,1,3,2,1,5,4,2,3,1,2,3,6,3,6,4,3,2,1,9,7,4,3,4,3,3,3,4,1,4,3,4,1,3,2,2,2,1,3,3,1,0,3,4,1,3,0,2,2,0,3,1,1
BOLIVAR,Robo a unidades económicas,3,1,2,2,1,1,1,2,0,0,0,0,0,1,3,2,2,1,4,1,3,1,2,4,1,1,1,3,1,1,1,3,1,0,3,3,2,2,3,1,1,2,2,0,0,0,0,1,0,1,0,1,0,0,0,2,1,0,1,2,2,1,0,1
