provincia,delitos_de_mayor_incidencia,fecha,denuncias
AZUAY,Robo a personas,2020-01-01,95
AZUAY,"Robo de bienes, accesorios y autopartes de vehículos",2020-01-01,78
AZUAY,Robo de motos,2020-01-01,15
AZUAY,Robo de carros,2020-01-01,4
AZUAY,Robo a domicilio,2020-01-01,49
AZUAY,Robo a unidades económicas,2020-01-01,36
BOLIVAR,Robo a personas,2020-01-01,3
BOLIVAR,"Robo de bienes, accesorios y autopartes de vehículos",2020-01-01,3
BOLIVAR,Robo de motos,2020-01-01,0
BOLIVAR,Robo de carros,2020-01-01,2
BOLIVAR,Robo a domicilio,2020-01-01,6
BOLIVAR,Robo a unidades económicas,2020-01-01,3
CANAR,Robo a personas,2020-01-01,18
CANAR,"Robo de bienes, accesorios y autopartes de vehículos",2020-01-01,10
CANAR,Robo de motos,2020-01-01,4
CANAR,Robo de carros,2020-01-01,1
CANAR,Robo a domicilio,2020-01-01,14
CANAR,Robo a unidades económicas,2020-01-01,7
CARCHI,Robo a personas,2020-01-01,9
CARCHI,"Robo de bienes, accesorios y autopartes de vehículos",2020-01-01,2
CARCHI,Robo de motos,2020-01-01,0
CARCHI,Robo de carros,2020-01-01,2
CARCHI,Robo a domicilio,2020-01-01,3
CARCHI,Robo a unidades económicas,2020-01-01,4
COTOPAXI,Robo a personas,2020-01-01,34
COTOPAXI,"Robo de bienes, accesorios y autopartes de vehículos",2020-01-01,22
COTOPAXI,Robo de motos,2020-01-01,5
COTOPAXI,Robo de carros,2020-01-01,13
COTOPAXI,Robo a domicilio,2020-01-01,12
COTOPAXI,Robo a unidades económicas,2020-01-01,12
CHIMBORAZO,Robo a personas,2020-01-01,55
CHIMBORAZO,"Robo de bienes, accesorios y autopartes de vehículos",2020-01-01,34
CHIMBORAZO,Robo de motos,2020-01-01,7
CHIMBORAZO,Robo de carros,2020-01-01,7
CHIMBORAZO,Robo a domicilio,2020-01-01,19
CHIMBORAZO,Robo a unidades económicas,2020-01-01,11
EL ORO,Robo a personas,2020-01-01,147
EL ORO,"Robo de bienes, accesorios y autopartes de vehículos",2020-01-01,12
EL ORO,Robo de motos,2020-01-01,64
EL ORO,Robo de carros,2020-01-01,12
EL ORO,Robo a domicilio,2020-01-01,44
EL ORO,Robo a unidades económicas,2020-01-01,26
ESMERALDAS,Robo a personas,2020-01-01,92
ESMERALDAS,"Robo de bienes, accesorios y autopartes de vehículos",2020-01-01,3
ESMERALDAS,Robo de motos,2020-01-01,25
ESMERALDAS,Robo de carros,2020-01-01,5
ESMERALDAS,Robo a domicilio,2020-01-01,48
ESMERALDAS,Robo a unidades económicas,2020-01-01,12
GUAYAS,Robo a personas,2020-01-01,1177
GUAYAS,"Robo de bienes, accesorios y autopartes de vehículos",2020-01-01,205
GUAYAS,Robo de motos,2020-01-01,253
GUAYAS,Robo de carros,2020-01-01,180
GUAYAS,Robo a domicilio,2020-01-01,203
GUAYAS,Robo a unidades económicas,2020-01-01,91
IMBABURA,Robo a personas,2020-01-01,42
IMBABURA,"Robo de bienes, accesorios y autopartes de vehículos",2020-01-01,7
IMBABURA,Robo de motos,2020-01-01,3
IMBABURA,Robo de carros,2020-01-01,1
IMBABURA,Robo a domicilio,2020-01-01,23
IMBABURA,Robo a unidades económicas,2020-01-01,15
LOJA,Robo a personas,2020-01-01,25
LOJA,"Robo de bienes, accesorios y autopartes de vehículos",2020-01-01,11
LOJA,Robo de motos,2020-01-01,2
LOJA,Robo de carros,2020-01-01,2
LOJA,Robo a domicilio,2020-01-01,19
LOJA,Robo a unidades económicas,2020-01-01,0
LOS RIOS,Robo a personas,2020-01-01,148
LOS RIOS,"Robo de bienes, accesorios y autopartes de vehículos",2020-01-01,10
LOS RIOS,Robo de motos,2020-01-01,77
LOS RIOS,Robo de carros,2020-01-01,20
LOS RIOS,Robo a domicilio,2020-01-01,25
LOS RIOS,Robo a unidades económicas,2020-01-01,21
MANABI,Robo a personas,2020-01-01,134
MANABI,"Robo de bienes, accesorios y autopartes de vehículos",2020-01-01,19
MANABI,Robo de motos,2020-01-01,52
MANABI,Robo de carros,2020-01-01,30
MANABI,Robo a domicilio,2020-01-01,69
MANABI,Robo a unidades económicas,2020-01-01,26
MORONA SANTIAGO,Robo a personas,2020-01-01,6
MORONA SANTIAGO,"Robo de bienes, accesorios y autopartes de vehículos",2020-01-01,4
MORONA SANTIAGO,Robo de motos,2020-01-01,3
MORONA SANTIAGO,Robo de carros,2020-01-01,1
MORONA SANTIAGO,Robo a domicilio,2020-01-01,14
MORONA SANTIAGO,Robo a unidades económicas,2020-01-01,2
NAPO,Robo a personas,2020-01-01,9
NAPO,"Robo de bienes, accesorios y autopartes de vehículos",2020-01-01,0
NAPO,Robo de motos,2020-01-01,3
NAPO,Robo de carros,2020-01-01,2
NAPO,Robo a domicilio,2020-01-01,10
NAPO,Robo a unidades económicas,2020-01-01,0
PASTAZA,Robo a personas,2020-01-01,12
PASTAZA,"Robo de bienes, accesorios y autopartes de vehículos",2020-01-01,2
PASTAZA,Robo de motos,2020-01-01,1
PASTAZA,Robo de carros,2020-01-01,0
PASTAZA,Robo a domicilio,2020-01-01,17
PASTAZA,Robo a unidades económicas,2020-01-01,1
PICHINCHA,Robo a personas,2020-01-01,799
PICHINCHA,"Robo de bienes, accesorios y autopartes de vehículos",2020-01-01,307
PICHINCHA,Robo de motos,2020-01-01,111
PICHINCHA,Robo de carros,2020-01-01,164
PICHINCHA,Robo a domicilio,2020-01-01,204
PICHINCHA,Robo a unidades económicas,2020-01-01,174
TUNGURAHUA,Robo a personas,2020-01-01,50
TUNGURAHUA,"Robo de bienes, accesorios y autopartes de vehículos",2020-01-01,22
TUNGURAHUA,Robo de motos,2020-01-01,0
TUNGURAHUA,Robo de carros,2020-01-01,7
TUNGURAHUA,Robo a domicilio,2020-01-01,23
TUNGURAHUA,Robo a unidades económicas,2020-01-01,7
ZAMORA CHINCHIPE,Robo a personas,2020-01-01,3
ZAMORA CHINCHIPE,"Robo de bienes, accesorios y autopartes de vehículos",2020-01-01,2
ZAMORA CHINCHIPE,Robo de motos,2020-01-01,0
ZAMORA CHINCHIPE,Robo de carros,2020-01-01,1
ZAMORA CHINCHIPE,Robo a domicilio,2020-01-01,3
ZAMORA CHINCHIPE,Robo a unidades económicas,2020-01-01,4
GALAPAGOS,Robo a personas,2020-01-01,0
GALAPAGOS,"Robo de bienes, accesorios y autopartes de vehículos",2020-01-01,0
GALAPAGOS,Robo de motos,2020-01-01,0
GALAPAGOS,Robo de carros,2020-01-01,0
GALAPAGOS,Robo a domicilio,2020-01-01,0
GALAPAGOS,Robo a unidades económicas,2020-01-01,0
SUCUMBIOS,Robo a personas,2020-01-01,22
SUCUMBIOS,"Robo de bienes, accesorios y autopartes de vehículos",2020-01-01,3
SUCUMBIOS,Robo de motos,2020-01-01,15
SUCUMBIOS,Robo de carros,2020-01-01,3
SUCUMBIOS,Robo a domicilio,2020-01-01,14
SUCUMBIOS,Robo a unidades económicas,2020-01-01,4
ORELLANA,Robo a personas,2020-01-01,14
ORELLANA,"Robo de bienes, accesorios y autopartes de vehículos",2020-01-01,0
ORELLANA,Robo de motos,2020-01-01,14
ORELLANA,Robo de carros,2020-01-01,5
ORELLANA,Robo a domicilio,2020-01-01,14
ORELLANA,Robo a unidades económicas,2020-01-01,6
SANTO DOMINGO DE LOS TSACHILAS,Robo a personas,2020-01-01,57
SANTO DOMINGO DE LOS TSACHILAS,"Robo de bienes, accesorios y autopartes de vehículos",2020-01-01,11
SANTO DOMINGO DE LOS TSACHILAS,Robo de motos,2020-01-01,40
SANTO DOMINGO DE LOS TSACHILAS,Robo de carros,2020-01-01,29
SANTO DOMINGO DE LOS TSACHILAS,Robo a domicilio,2020-01-01,30
SANTO DOMINGO DE LOS TSACHILAS,Robo a unidades económicas,2020-01-01,14
SANTA ELENA,Robo a personas,2020-01-01,43
SANTA ELENA,"Robo de bienes, accesorios y autopartes de vehículos",2020-01-01,11
SANTA ELENA,Robo de motos,2020-01-01,16
SANTA ELENA,Robo de carros,2020-01-01,1
SANTA ELENA,Robo a domicilio,2020-01-01,31
SANTA ELENA,Robo a unidades económicas,2020-01-01,9
NACIONAL,Robo a personas,2020-01-01,2994
NACIONAL,"Robo de bienes, accesorios y autopartes de vehículos",2020-01-01,778
NACIONAL,Robo de motos,2020-01-01,710
NACIONAL,Robo de carros,2020-01-01,492
NACIONAL,Robo a domicilio,2020-01-01,894
NACIONAL,Robo a unidades económicas,2020-01-01,485
AZUAY,Robo a personas,2020-02-01,96
AZUAY,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,54
AZUAY,Robo de motos,2020-02-01,13
AZUAY,Robo de carros,2020-02-01,9
AZUAY,Robo a domicilio,2020-02-01,39
AZUAY,Robo a unidades económicas,2020-02-01,17
BOLIVAR,Robo a personas,2020-02-01,12
BOLIVAR,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,6
BOLIVAR,Robo de motos,2020-02-01,2
BOLIVAR,Robo de carros,2020-02-01,3
BOLIVAR,Robo a domicilio,2020-02-01,5
BOLIVAR,Robo a unidades económicas,2020-02-01,1
CANAR,Robo a personas,2020-02-01,22
CANAR,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,9
CANAR,Robo de motos,2020-02-01,8
CANAR,Robo de carros,2020-02-01,3
CANAR,Robo a domicilio,2020-02-01,14
CANAR,Robo a unidades económicas,2020-02-01,3
CARCHI,Robo a personas,2020-02-01,4
CARCHI,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,2
CARCHI,Robo de motos,2020-02-01,0
CARCHI,Robo de carros,2020-02-01,2
CARCHI,Robo a domicilio,2020-02-01,0
CARCHI,Robo a unidades económicas,2020-02-01,1
COTOPAXI,Robo a personas,2020-02-01,54
COTOPAXI,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,13
COTOPAXI,Robo de motos,2020-02-01,2
COTOPAXI,Robo de carros,2020-02-01,8
COTOPAXI,Robo a domicilio,2020-02-01,15
COTOPAXI,Robo a unidades económicas,2020-02-01,11
CHIMBORAZO,Robo a personas,2020-02-01,65
CHIMBORAZO,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,13
CHIMBORAZO,Robo de motos,2020-02-01,2
CHIMBORAZO,Robo de carros,2020-02-01,1
CHIMBORAZO,Robo a domicilio,2020-02-01,20
CHIMBORAZO,Robo a unidades económicas,2020-02-01,6
EL ORO,Robo a personas,2020-02-01,113
EL ORO,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,4
EL ORO,Robo de motos,2020-02-01,46
EL ORO,Robo de carros,2020-02-01,15
EL ORO,Robo a domicilio,2020-02-01,29
