provincia,cantón,área_de_residencia,asiste_actualmente_a_la_educación_regular_o_formal?,numero_total_de_personas,ninguno,centro_de_desarrollo_infantil/creciendo_con_nuestros_hijos/guardería,número_total_de_personas_que_asisten_o_asistieron_a_educación_inicial,número_total_de_personas_que_asisten_o_asistieron_a_alfabetización,número_total_de_personas_que_asisten_o_asistieron_a_educación_general_básica,número_total_de_personas_que_asisten_o_asistieron_a_bachillerato,número_total_de_personas_que_asisten_o_asistieron_a_ciclo_postbachillerato,número_total_de_personas_que_asisten_o_asistieron_a_educación_técnica_o_tecnológica,número_total_de_personas_que_asisten_o_asistieron_a_educación_superior,número_total_de_personas_que_asisten_o_asistieron_a_maestría/posgrado,número_total_de_personas_que_asisten_o_asistieron_a_phd/doctorado
AZUAY,Cuenca,Urbana,Asiste,116444,0.0,1934.0,5880.0,24.0,52853,17499,409.0,1726.0,35622.0,457.0,40.0
AZUAY,Cuenca,Urbana,No asiste,245080,16346.0,263.0,394.0,206.0,58645,78016,1238.0,5191.0,66189.0,17210.0,1382.0
AZUAY,Cuenca,Rural,Asiste,78733,0.0,2148.0,4630.0,43.0,43423,13795,304.0,1119.0,13134.0,123.0,14.0
AZUAY,Cuenca,Rural,No asiste,155844,17353.0,259.0,300.0,642.0,66537,47158,577.0,1955.0,17653.0,3212.0,198.0
AZUAY,Girón,Urbana,Asiste,1451,0.0,37.0,84.0,0.0,849,253,3.0,22.0,201.0,2.0,0.0
AZUAY,Girón,Urbana,No asiste,2902,270.0,11.0,4.0,13.0,1175,992,13.0,54.0,310.0,58.0,2.0
AZUAY,Girón,Rural,Asiste,2180,0.0,109.0,85.0,6.0,1436,415,5.0,17.0,107.0,0.0,0.0
AZUAY,Girón,Rural,No asiste,5649,603.0,25.0,11.0,105.0,3404,1225,4.0,33.0,205.0,32.0,2.0
AZUAY,Gualaceo,Urbana,Asiste,4672,0.0,158.0,288.0,2.0,2642,783,18.0,55.0,710.0,13.0,3.0
AZUAY,Gualaceo,Urbana,No asiste,9171,862.0,18.0,14.0,39.0,3300,3096,29.0,139.0,1385.0,272.0,17.0
AZUAY,Gualaceo,Rural,Asiste,9404,0.0,618.0,570.0,8.0,5643,1733,52.0,69.0,708.0,3.0,0.0
