provincia,cantón,área_de_residencia,número_total_de_personas,hombres,mujeres
AZUAY,Total Azuay,Total Azuay,801609,376419,425190
AZUAY,Total Azuay,Urbana,420141,198877,221264
AZUAY,Total Azuay,Rural,381468,177542,203926
AZUAY,Cuenca,Total Cuenca,596101,281823,314278
AZUAY,Cuenca,Urbana,361524,171684,189840
AZUAY,Cuenca,Rural,234577,110139,124438
AZUAY,Girón,Total Girón,12182,5532,6650
AZUAY,Girón,Urbana,4353,1952,2401
AZUAY,Girón,Rural,7829,3580,4249
AZUAY,Gualaceo,Total Gualaceo,43188,19421,23767
AZUAY,Gualaceo,Urbana,13843,6307,7536
AZUAY,Gualaceo,Rural,29345,13114,16231
AZUAY,Nabón,Total Nabón,14776,6729,8047
AZUAY,Nabón,Urbana,1276,550,726
AZUAY,Nabón,Rural,13500,6179,7321
AZUAY,Paute,Total Paute,26782,12201,14581
AZUAY,Paute,Urbana,8766,4030,4736
AZUAY,Paute,Rural,18016,8171,9845
AZUAY,Pucará,Total Pucará,9693,4604,5089
AZUAY,Pucará,Urbana,855,416,439
AZUAY,Pucará,Rural,8838,4188,4650
AZUAY,San Fernando,Total San Fernando,3738,1656,2082
AZUAY,San Fernando,Urbana,1407,637,770
AZUAY,San Fernando,Rural,2331,1019,1312
AZUAY,Santa Isabel,Total Santa Isabel,20753,9914,10839
AZUAY,Santa Isabel,Urbana,6194,2948,3246
AZUAY,Santa Isabel,Rural,14559,6966,7593
AZUAY,Sígsig,Total Sígsig,24992,11016,13976
AZUAY,Sígsig,Urbana,4029,1851,2178
AZUAY,Sígsig,Rural,20963,9165,11798
AZUAY,Oña,Total Oña,3422,1575,1847
AZUAY,Oña,Urbana,989,456,533
AZUAY,Oña,Rural,2433,1119,1314
AZUAY,Chordeleg,Total Chordeleg,12197,5494,6703
AZUAY,Chordeleg,Urbana,4445,2086,2359
AZUAY,Chordeleg,Rural,7752,3408,4344
AZUAY,El Pan,Total El Pan,2776,1280,1496
AZUAY,El Pan,Urbana,503,225,278
AZUAY,El Pan,Rural,2273,1055,1218
AZUAY,Sevilla de Oro,Total Sevilla de Oro,4613,2167,2446
AZUAY,Sevilla de Oro,Urbana,732,345,387
AZUAY,Sevilla de Oro,Rural,3881,1822,2059
AZUAY,Guachapala,Total Guachapala,3586,1714,1872
AZUAY,Guachapala,Urbana,1210,556,654
AZUAY,Guachapala,Rural,2376,1158,1218
AZUAY,Camilo Ponce Enríquez,Total Camilo Ponce Enríquez,22810,11293,11517
AZUAY,Camilo Ponce Enríquez,Urbana,10015,4834,5181
