provincia,cantón,fecha,homicidios
AZUAY,Cuenca,2020-01-01,1
AZUAY,Giron,2020-01-01,0
AZUAY,Gualaceo,2020-01-01,0
AZUAY,Nabon,2020-01-01,0
AZUAY,Paute,2020-01-01,0
AZUAY,Pucara,2020-01-01,0
AZUAY,San Fernando,2020-01-01,0
AZUAY,Santa Isabel,2020-01-01,0
AZUAY,Sigsig,2020-01-01,0
AZUAY,Oña,2020-01-01,0
AZUAY,Chordeleg,2020-01-01,0
AZUAY,El Pan,2020-01-01,0
AZUAY,Sevilla De Oro,2020-01-01,0
AZUAY,Guachapala,2020-01-01,0
AZUAY,Camilo Ponce Enriquez,2020-01-01,0
BOLIVAR,Guaranda,2020-01-01,0
BOLIVAR,Chillanes,2020-01-01,0
BOLIVAR,Chimbo,2020-01-01,0
BOLIVAR,Echeandia,2020-01-01,0
BOLIVAR,San Miguel,2020-01-01,0
BOLIVAR,Caluma,2020-01-01,0
BOLIVAR,Las Naves,2020-01-01,0
CANAR,Azogues,2020-01-01,0
CANAR,Biblian,2020-01-01,1
CANAR,Cañar,2020-01-01,0
CANAR,La Troncal,2020-01-01,0
CANAR,El Tambo,2020-01-01,0
CANAR,Deleg,2020-01-01,0
CANAR,Suscal,2020-01-01,0
CARCHI,Tulcan,2020-01-01,0
CARCHI,Bolivar,2020-01-01,0
CARCHI,Espejo,2020-01-01,0
CARCHI,Mira,2020-01-01,2
CARCHI,Montufar,2020-01-01,0
CARCHI,San Pedro De Huaca,2020-01-01,0
COTOPAXI,Latacunga,2020-01-01,1
COTOPAXI,La Mana,2020-01-01,0
COTOPAXI,Pangua,2020-01-01,0
COTOPAXI,Pujili,2020-01-01,0
COTOPAXI,Salcedo,2020-01-01,1
COTOPAXI,Saquisili,2020-01-01,0
COTOPAXI,Sigchos,2020-01-01,0
CHIMBORAZO,Riobamba,2020-01-01,1
CHIMBORAZO,Alausi,2020-01-01,0
CHIMBORAZO,Colta,2020-01-01,0
CHIMBORAZO,Chambo,2020-01-01,0
CHIMBORAZO,Chunchi,2020-01-01,0
CHIMBORAZO,Guamote,2020-01-01,0
CHIMBORAZO,Guano,2020-01-01,0
CHIMBORAZO,Pallatanga,2020-01-01,0
CHIMBORAZO,Penipe,2020-01-01,0
CHIMBORAZO,Cumanda,2020-01-01,0
EL ORO,Machala,2020-01-01,1
EL ORO,Arenillas,2020-01-01,2
EL ORO,Atahualpa,2020-01-01,0
EL ORO,Balsas,2020-01-01,0
EL ORO,Chilla,2020-01-01,0
EL ORO,El Guabo,2020-01-01,0
EL ORO,Huaquillas,2020-01-01,1
EL ORO,Marcabeli,2020-01-01,0
EL ORO,Pasaje,2020-01-01,0
EL ORO,Piñas,2020-01-01,0
EL ORO,Portovelo,2020-01-01,1
EL ORO,Santa Rosa,2020-01-01,2
EL ORO,Zaruma,2020-01-01,0
EL ORO,Las Lajas,2020-01-01,0
ESMERALDAS,Esmeraldas,2020-01-01,0
ESMERALDAS,Eloy Alfaro,2020-01-01,0
ESMERALDAS,Muisne,2020-01-01,0
ESMERALDAS,Quininde,2020-01-01,1
ESMERALDAS,San Lorenzo,2020-01-01,0
ESMERALDAS,Atacames,2020-01-01,0
ESMERALDAS,Rioverde,2020-01-01,0
GUAYAS,Guayaquil,2020-01-01,28
GUAYAS,Alfredo Baquerizo Moreno (Jujan),2020-01-01,0
GUAYAS,Balao,2020-01-01,1
GUAYAS,Balzar,2020-01-01,0
GUAYAS,Colimes,2020-01-01,0
GUAYAS,Daule,2020-01-01,2
GUAYAS,Duran,2020-01-01,7
GUAYAS,El Empalme,2020-01-01,2
GUAYAS,El Triunfo,2020-01-01,1
GUAYAS,Milagro,2020-01-01,3
GUAYAS,Naranjal,2020-01-01,3
GUAYAS,Naranjito,2020-01-01,0
GUAYAS,Palestina,2020-01-01,0
GUAYAS,Pedro Carbo,2020-01-01,1
GUAYAS,Samborondon,2020-01-01,1
GUAYAS,Santa Lucia,2020-01-01,1
