provincia,cantón,área_de_residencia,número_total_de_hogares,no_pobres,pobre_solo_por_dependencia_económica,pobre_solo_por_no_asistencia_a_clases_de_niños_en_edad_escolar,pobre_solo_por_características_físicas_inadecuadas_de_la_vivienda,pobre_solo_por_no_disponibilidad_de_servicios_básicos_de_la_vivienda,pobre_solo_por_estado_de_hacinamiento_del_hogar,pobre_por_carencia_en_dos_o_más_componentes
AZUAY,Cuenca,Urbana,115477,105621.0,1103.0,1253.0,407.0,3614,2383.0,1096.0
AZUAY,Cuenca,Rural,67717,43757.0,1525.0,404.0,798.0,12518,1815.0,6900.0
AZUAY,Girón,Urbana,1333,1126.0,50.0,11.0,5.0,56,60.0,25.0
AZUAY,Girón,Rural,2549,1510.0,82.0,5.0,61.0,429,56.0,406.0
AZUAY,Gualaceo,Urbana,4188,3615.0,132.0,10.0,25.0,191,138.0,77.0
AZUAY,Gualaceo,Rural,8582,3758.0,226.0,18.0,101.0,2750,169.0,1560.0
AZUAY,Nabón,Urbana,416,350.0,9.0,1.0,11.0,23,11.0,11.0
AZUAY,Nabón,Rural,4133,960.0,80.0,10.0,281.0,912,56.0,1834.0
AZUAY,Paute,Urbana,2648,2376.0,40.0,5.0,6.0,98,89.0,34.0
AZUAY,Paute,Rural,5666,3133.0,215.0,21.0,51.0,1490,115.0,641.0
AZUAY,Pucará,Urbana,278,198.0,12.0,0.0,4.0,23,15.0,26.0
AZUAY,Pucará,Rural,2759,914.0,79.0,3.0,102.0,765,87.0,809.0
AZUAY,San Fernando,Urbana,453,377.0,14.0,3.0,8.0,33,11.0,7.0
AZUAY,San Fernando,Rural,740,458.0,21.0,0.0,16.0,167,12.0,66.0
AZUAY,Santa Isabel,Urbana,1965,1739.0,28.0,10.0,7.0,62,85.0,34.0
AZUAY,Santa Isabel,Rural,4651,2499.0,102.0,9.0,105.0,953,111.0,872.0
AZUAY,Sígsig,Urbana,1316,1164.0,28.0,3.0,13.0,57,23.0,28.0
AZUAY,Sígsig,Rural,6579,2623.0,136.0,14.0,170.0,1988,105.0,1543.0
AZUAY,Oña,Urbana,352,227.0,3.0,0.0,17.0,57,6.0,42.0
AZUAY,Oña,Rural,852,268.0,16.0,2.0,126.0,103,21.0,316.0
AZUAY,Chordeleg,Urbana,1319,1103.0,27.0,9.0,11.0,94,41.0,34.0
AZUAY,Chordeleg,Rural,2416,1378.0,56.0,8.0,17.0,665,51.0,241.0
AZUAY,El Pan,Urbana,154,140.0,3.0,0.0,1.0,6,4.0,0.0
AZUAY,El Pan,Rural,792,550.0,26.0,1.0,0.0,163,19.0,33.0
AZUAY,Sevilla de Oro,Urbana,235,206.0,3.0,0.0,2.0,14,7.0,3.0
AZUAY,Sevilla de Oro,Rural,1232,860.0,27.0,6.0,3.0,289,7.0,40.0
AZUAY,Guachapala,Urbana,383,310.0,13.0,0.0,1.0,38,10.0,11.0
AZUAY,Guachapala,Rural,769,455.0,24.0,2.0,9.0,205,18.0,56.0
AZUAY,Camilo Ponce Enríquez,Urbana,3115,2356.0,41.0,18.0,19.0,214,306.0,161.0
AZUAY,Camilo Ponce Enríquez,Rural,3798,2085.0,82.0,15.0,17.0,924,302.0,373.0
BOLIVAR,Guaranda,Urbana,10202,8449.0,123.0,37.0,49.0,877,275.0,392.0
BOLIVAR,Guaranda,Rural,20688,4048.0,161.0,23.0,121.0,7081,161.0,9093.0
BOLIVAR,Chillanes,Urbana,1104,798.0,36.0,1.0,4.0,164,24.0,77.0
BOLIVAR,Chillanes,Rural,5396,1139.0,41.0,7.0,17.0,3050,84.0,1058.0
